declarationDate,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode,hash,lastRefresh
1953-05-29T00:00:00 -04:00,DR,st,FLOOD,1953-05-29T00:00:00 -04:00,1953-05-29T00:00:00 -04:00,1960-02-01T00:00:00 -05:00,,,a18161d7a4b471c9e8a010a290285819,2016-12-18T11:07:49 -05:00
1953-05-02T00:00:00 -04:00,DR,Tornado,TORNADO,1953-05-02T00:00:00 -04:00,1953-05-02T00:00:00 -04:00,1954-06-01T00:00:00 -04:00,,,ea0ddb750bb0d257e60c545782a22e6c,2016-12-18T11:07:49 -05:00
1953-06-02T00:00:00 -04:00,DR,Tornado,TORNADO,1953-06-02T00:00:00 -04:00,1953-06-02T00:00:00 -04:00,1956-02-01T00:00:00 -05:00,,,c31575f44298d7dd9dc4af8fb15c4d23,2016-12-18T11:07:49 -05:00
1954-02-05T00:00:00 -05:00,DR,Flood,FLOOD & EROSION,1954-02-05T00:00:00 -05:00,1954-02-05T00:00:00 -05:00,1957-09-01T00:00:00 -04:00,,,466668afa8b1ae6d564e230d42155958,2016-12-18T11:07:49 -05:00
1954-09-17T00:00:00 -04:00,DR,Hurricane,HURRICANES,1954-09-17T00:00:00 -04:00,1954-09-17T00:00:00 -04:00,1957-01-01T00:00:00 -05:00,,,5f7e66ccd1ee47f169c1b9de929e09ac,2016-12-18T11:07:49 -05:00
1955-06-01T00:00:00 -04:00,DR,Flood,FLOOD & TORNADO,1955-06-01T00:00:00 -04:00,1955-06-01T00:00:00 -04:00,1959-12-01T00:00:00 -05:00,,,6a8cc2ef30b7f1b2e2e7c316a21fa8db,2016-12-18T11:07:49 -05:00
1956-04-21T00:00:00 -04:00,DR,Flood,FLOODS,1956-04-21T00:00:00 -04:00,1956-04-21T00:00:00 -04:00,1961-04-01T00:00:00 -04:00,,,620711c7e7cb4f4880b6664d5c7626a6,2016-12-18T11:07:49 -05:00
1955-08-22T00:00:00 -04:00,DR,Hurricane,HURRICANE & FLOODS,1955-08-22T00:00:00 -04:00,1955-08-22T00:00:00 -04:00,1957-02-01T00:00:00 -05:00,,,200e414d7a7dcfafbfc032f55cf4fec7,2016-12-18T11:07:49 -05:00
1956-12-29T00:00:00 -05:00,DR,Fire,FOREST FIRE,1956-12-29T00:00:00 -05:00,1956-12-29T00:00:00 -05:00,1959-04-01T00:00:00 -04:00,,,6337189a4ec83a06274331b21d8fe676,2016-12-18T11:07:49 -05:00
1957-05-22T00:00:00 -04:00,DR,Tornado,TORNADOES & FLOODS,1957-05-22T00:00:00 -04:00,1957-05-22T00:00:00 -04:00,1959-06-01T00:00:00 -04:00,,,0294c16a638b84517150f7e5a571eed6,2016-12-18T11:07:49 -05:00
1958-06-06T00:00:00 -04:00,DR,Tornado,"TORNADOES, RAIN, HAIL & FLOODS",1958-06-06T00:00:00 -04:00,1958-06-06T00:00:00 -04:00,1961-03-01T00:00:00 -05:00,,,e9ea5d01ce4d8b8c60bbb8360111fdf5,2016-12-18T11:07:49 -05:00
1959-11-09T00:00:00 -05:00,DR,Flood,HEAVY RAINS & FLOODS,1959-11-09T00:00:00 -05:00,1959-11-09T00:00:00 -05:00,1961-05-19T00:00:00 -04:00,,,ceb5e1b9e2512093936e7e4b0e38bcf0,2016-12-18T11:07:49 -05:00
1960-07-22T00:00:00 -04:00,DR,Fire,FIRES,1960-07-22T00:00:00 -04:00,1960-07-22T00:00:00 -04:00,1961-09-20T00:00:00 -04:00,,,925c9b4bd75b762419f89541e66ac0bd,2016-12-18T11:07:52 -05:00
1961-05-27T00:00:00 -04:00,DR,Flood,FLOODS & TORNADOES,1961-05-27T00:00:00 -04:00,1961-05-27T00:00:00 -04:00,1963-10-14T00:00:00 -04:00,,,18818fd7a1755bc48f169a5b005d954f,2016-12-18T11:07:52 -05:00
1962-03-09T00:00:00 -05:00,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",1962-03-09T00:00:00 -05:00,1962-03-09T00:00:00 -05:00,1964-06-23T00:00:00 -04:00,,,b286e85fa91e8678aea15b08fc68eef3,2016-12-18T11:07:52 -05:00
1953-06-09T00:00:00 -04:00,DR,Tornado,TORNADO,1953-06-09T00:00:00 -04:00,1953-06-09T00:00:00 -04:00,1956-03-30T00:00:00 -04:00,,,7b23e910ae9f61c3afd94cf9096bb48b,2016-12-18T11:07:49 -05:00
1954-06-23T00:00:00 -04:00,DR,Flood,FLOOD,1954-06-23T00:00:00 -04:00,1954-06-23T00:00:00 -04:00,1956-02-01T00:00:00 -05:00,,,23675dc3212ec07b74c291a494f1f0fb,2016-12-18T11:07:49 -05:00
1954-10-13T00:00:00 -04:00,DR,Flood,FLOOD,1954-10-13T00:00:00 -04:00,1954-10-13T00:00:00 -04:00,1959-12-01T00:00:00 -05:00,,,86fa45f33d15b465f827e2c49bd14503,2016-12-18T11:07:49 -05:00
1955-08-13T00:00:00 -04:00,DR,Hurricane,HURRICANES,1955-08-13T00:00:00 -04:00,1955-08-13T00:00:00 -04:00,1961-02-10T00:00:00 -05:00,,,c62be6100a2732e015048ab51a47766e,2016-12-18T11:07:49 -05:00
1955-12-23T00:00:00 -05:00,DR,Flood,FLOOD,1955-12-23T00:00:00 -05:00,1955-12-23T00:00:00 -05:00,1968-08-12T00:00:00 -04:00,,,f675c65c2d35affae740763d1b6f00f3,2016-12-18T11:07:49 -05:00
1956-05-17T00:00:00 -04:00,DR,Other,WIND STORM,1956-05-17T00:00:00 -04:00,1956-05-17T00:00:00 -04:00,1959-06-01T00:00:00 -04:00,,,0e4f6edb8816f13e3cb5b04c9c1eb82a,2016-12-18T11:07:52 -05:00
1957-01-31T00:00:00 -05:00,DR,Flood,FLOOD,1957-01-31T00:00:00 -05:00,1957-01-31T00:00:00 -05:00,1959-10-01T00:00:00 -04:00,,,76669fbcfc6854561c1c21ad4ced128c,2016-12-18T11:07:52 -05:00
1957-05-29T00:00:00 -04:00,DR,Tornado,"TORNADOES, RAIN, HAIL & FLOODS",1957-05-29T00:00:00 -04:00,1957-05-29T00:00:00 -04:00,1966-01-28T00:00:00 -05:00,,,d1d0c3fe98925e2bc25679d88b00f6cd,2017-08-09T09:49:35 -04:00
1958-10-01T00:00:00 -04:00,DR,Hurricane,HURRICANE & SEVERE STORM,1958-10-01T00:00:00 -04:00,1958-10-01T00:00:00 -04:00,1960-12-01T00:00:00 -05:00,,,e66f9271f97d170ff73d8fa0fdeb6bde,2016-12-18T11:07:52 -05:00
1960-03-23T00:00:00 -04:00,DR,Other,SEVERE WEATHER CONDITIONS,1960-03-23T00:00:00 -04:00,1960-03-23T00:00:00 -04:00,1962-03-20T00:00:00 -04:00,,,1927f7f20387231cff688d102cf1d821,2016-12-18T11:07:52 -05:00
1960-09-16T00:00:00 -04:00,DR,Hurricane,HURRICANE DONNA,1960-09-16T00:00:00 -04:00,1960-09-16T00:00:00 -04:00,1962-03-30T00:00:00 -04:00,,,66ec99603617b4e9b307289f5bcfa42d,2016-12-18T11:07:53 -05:00
1961-07-23T00:00:00 -04:00,DR,Flood,FLOODS,1961-07-23T00:00:00 -04:00,1961-07-23T00:00:00 -04:00,1963-03-22T00:00:00 -04:00,,,69ffd1c6884160e09060ecb855134bfe,2016-12-18T11:07:53 -05:00
1962-03-09T00:00:00 -05:00,DR,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",1962-03-09T00:00:00 -05:00,1962-03-09T00:00:00 -05:00,1963-12-19T00:00:00 -05:00,,,5a5abcf641e4ba676d396d79b673b9ff,2016-12-18T11:07:53 -05:00
1962-10-20T00:00:00 -04:00,DR,Severe Storm(s),SEVERE STORMS,1962-10-20T00:00:00 -04:00,1962-10-20T00:00:00 -04:00,1964-06-29T00:00:00 -04:00,,,08bf7ea8702a020c5a60ffb8c847e717,2016-12-18T11:07:53 -05:00
1963-03-13T00:00:00 -04:00,DR,Flood,SEVERE STORMS & FLOODING,1963-03-13T00:00:00 -04:00,1963-03-13T00:00:00 -04:00,1969-08-08T00:00:00 -04:00,,,375a2b0eeaf0a03b92f21e8bd701a4e2,2016-12-18T11:07:53 -05:00
1954-10-17T00:00:00 -04:00,DR,Hurricane,HURRICANE,1954-10-17T00:00:00 -04:00,1954-10-17T00:00:00 -04:00,1959-01-01T00:00:00 -05:00,,,cbd3a2cfc545375931c84595fd6a8438,2016-12-18T11:07:49 -05:00
